H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB1,1HB,HB1,HB1,HB1,HB1,,HB1
HB2,2HB,HB2,HB2,HB2,HB2,,HB2
HB3,3HB,HB3,HB3,HB3,HB3,,HB3
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG2,1HG,HG1,HG1,HG2,HG2,,HG2
HG3,2HG,HG2,HG2,HG1,HG1,,HG3
HD2,1HD,HD1,HD1,HD2,HD2,,HD2
HD3,2HD,HD2,HD2,HD1,HD1,,HD3
HE,HE,HNE,HE,HE,HE,,HE
HH11,1HH1,HN11,HH11,HH11,HH11,,HH11
HH12,2HH1,HN12,HH12,HH12,HH12,,HH12
HH21,1HH2,HN21,HH22,HH21,HH21,,HH21
HH22,2HH2,HN22,HH21,HH22,HH22,,HH22
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CD,CD,,CD,CD,CD,CD,CD
CZ,CZ,,CZ,CZ,CZ,CZ,CZ
N,N,,N,N,N,N,N
NE,NE,,NE,NE,NE,NE,NE
NH1,NH1,,NH1,NH1,NH1,NH1,NH1
NH2,NH2,,NH2,NH2,NH2,NH2,NH2
O,O,,O,O,O,O,O
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HD2,,,HD2,,,,HD2
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
OD1,OD1,,OD1,OD1,OD1,OD1,OD1
OD2,OD2,,OD2,OD2,OD2,OD2,OD2
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HD21,1HD2,HN21,HD21,HD21,HD21,,HD21
HD22,2HD2,HN22,HD22,HD22,HD22,,HD22
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
N,N,,N,N,N,N,N
ND2,ND2,,ND2,ND2,ND2,ND2,ND2
O,O,,O,O,O,O,O
OD1,OD1,,OD1,OD1,OD1,OD1,OD1
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG,HG,HSG,HG,HG,HG,,HG
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
SG,SG,,SG,SG,SG,SG,SG
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG2,1HG,HG1,HG1,HG2,HG2,,HG2
HG3,2HG,HG2,HG2,HG1,HG1,,HG3
HE2,,,HE2,,,,HE2
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CD,CD,,CD,CD,CD,CD,CD
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
OE1,OE1,,OE1,OE1,OE1,OE1,OE1
OE2,OE2,,OE2,OE2,OE2,OE2,OE2
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG2,1HG,HG1,HG1,HG2,HG2,,HG2
HG3,2HG,HG2,HG2,HG1,HG1,,HG3
HE21,1HE2,HN21,HE21,HE21,HE21,,HE21
HE22,2HE2,HN22,HE22,HE22,HE22,,HE22
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CD,CD,,CD,CD,CD,CD,CD
N,N,,N,N,N,N,N
NE2,NE2,,NE2,NE2,NE2,NE2,NE2
O,O,,O,O,O,O,O
OE1,OE1,,OE1,OE1,OE1,OE1,OE1
H,H,HN,HN,HN,H,,HN
HA2,1HA,HA1,HA1,HA2,HA2,,HA1
HA3,2HA,HA2,HA2,HA1,HA1,,HA2
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HD1,HD1,HND1,HD1,HD1,HD1,,HD1
HD2,HD2,HD2,HD2,HD2,HD2,,HD2
HE1,HE1,HE1,HE1,HE1,HE1,,HE1
HE2,,HNE2,HE2,,,,HE2
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CD2,CD2,,CD2,CD2,CD2,CD2,CD2
CE1,CE1,,CE1,CE1,CE1,CE1,CE1
N,N,,N,N,N,N,N
ND1,ND1,,ND1,ND1,ND1,ND1,ND1
NE2,NE2,,NE2,NE2,NE2,NE2,NE2
O,O,,O,O,O,O,O
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB,HB,HB,HB,HB,HB,,HB
HG12,1HG1,HG11,HG11,HG12,HG12,,HG12
HG13,2HG1,HG12,HG12,HG11,HG11,,HG13
HG21,1HG2,HG21,HG21,HG21,HG21,,HG21
HG22,2HG2,HG22,HG22,HG22,HG22,,HG22
HG23,3HG2,HG23,HG23,HG23,HG23,,HG23
HD11,1HD1,HD11,HD11,HD11,HD11,,HD11
HD12,2HD1,HD12,HD12,HD12,HD12,,HD12
HD13,3HD1,HD13,HD13,HD13,HD13,,HD13
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG1,CG1,,CG1,CG1,CG1,CG1,CG1
CG2,CG2,,CG2,CG2,CG2,CG2,CG2
CD1,CD1,,CD1,CD1,CD1,CD1,CD1
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG,HG,HG,HG,HG,HG,,HG
HD11,1HD1,HD11,HD11,HD11,HD11,,HD11
HD12,2HD1,HD12,HD12,HD12,HD12,,HD12
HD13,3HD1,HD13,HD13,HD13,HD13,,HD13
HD21,1HD2,HD21,HD21,HD21,HD21,,HD21
HD22,2HD2,HD22,HD22,HD22,HD22,,HD22
HD23,3HD2,HD23,HD23,HD23,HD23,,HD23
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CD1,CD1,,CD1,CD1,CD1,CD1,CD1
CD2,CD2,,CD2,CD2,CD2,CD2,CD2
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG2,1HG,HG1,HG1,HG2,HG2,,HG2
HG3,2HG,HG2,HG2,HG1,HG1,,HG3
HD2,1HD,HD1,HD1,HD2,HD2,,HD2
HD3,2HD,HD2,HD2,HD1,HD1,,HD3
HE2,1HE,HE1,HE1,HE2,HE2,,HE2
HE3,2HE,HE2,HE2,HE1,HE1,,HE3
HZ1,1HZ,HNZ1,HZ1,HZ1,HZ1,,HZ1
HZ2,2HZ,HNZ2,HZ2,HZ2,HZ2,,HZ2
HZ3,3HZ,HNZ3,HZ3,HZ3,HZ3,,HZ3
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CD,CD,,CD,CD,CD,CD,CD
CE,CE,,CE,CE,CE,CE,CE
N,N,,N,N,N,N,N
NZ,NZ,,NZ,NZ,NZ,NZ,NZ
O,O,,O,O,O,O,O
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG2,1HG,HG1,HG1,HG2,HG2,,HG2
HG3,2HG,HG2,HG2,HG1,HG1,,HG3
HE1,1HE,HE1,HE1,HE1,HE1,,HE1
HE2,2HE,HE2,HE2,HE2,HE2,,HE2
HE3,3HE,HE3,HE3,HE3,HE3,,HE3
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CE,CE,,CE,CE,CE,CE,CE
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
SD,SD,,SD,SD,SD,SD,SD
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HD1,HD1,HD1,HD1,HD1,HD1,,HD1
HD2,HD2,HD2,HD2,HD2,HD2,,HD2
HE1,HE1,HE1,HE1,HE1,HE1,,HE1
HE2,HE2,HE2,HE2,HE2,HE2,,HE2
HZ,HZ,HZ,HZ,HZ,HZ,,HZ
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CD1,CD1,,CD1,CD1,CD1,CD1,CD1
CD2,CD2,,CD2,CD2,CD2,CD2,CD2
CE1,CE1,,CE1,CE1,CE1,CE1,CE1
CE2,CE2,,CE2,CE2,CE2,CE2,CE2
CZ,CZ,,CZ,CZ,CZ,CZ,CZ
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
H2,H2,,HN2,HT2,,,
H3,H1,,HN1,HT1,,,
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG2,1HG,HG1,HG1,HG2,HG2,,HG2
HG3,2HG,HG2,HG2,HG1,HG1,,HG3
HD2,1HD,HD2,HD1,HD2,HD2,,HD2
HD3,2HD,HD1,HD2,HD1,HD1,,HD3
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG,CG,,CG,CG,CG,CG,CG
CD,CD,,CD,CD,CD,CD,CD
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB2,1HB,HB1,HB1,HB2,HB2,,HB2
HB3,2HB,HB2,HB2,HB1,HB1,,HB3
HG,HG,HOG,HG,HG,HG,,HG
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
OG,OG,,OG,OG,OG,OG,OG
H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB,HB,HB,HB,HB,HB,,HB
HG1,HG1,HOG1,HG1,HG1,HG1,,HG1
HG21,1HG2,HG21,HG21,HG21,HG21,,HG21
HG22,2HG2,HG22,HG22,HG22,HG22,,HG22
HG23,3HG2,HG23,HG23,HG23,HG23,,HG23
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG2,CG2,,CG2,CG2,CG2,CG2,CG2
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
OG1,OG1,,OG1,OG1,OG1,OG1,OG1
H,H,HN,HN,HN,H,,HN
